scientific_name,arrival_modes,arrival_bearing_spring,arrival_bearing_autumn,spring_window,autumn_window,flight_class,source_regions_spring,source_regions_autumn,note,source
Spatula cyanoptera,"{spring_overshoot,winter_irruption}",260,300,"[2000-03-15,2000-05-31]","[2000-10-15,2000-12-31]",,,"{SE,FI,RU-LEN}",Nearctic duck; spring with dabbling-duck passage from W,architect_proposal
Spatula discors,"{spring_overshoot,winter_irruption}",260,300,"[2000-03-15,2000-05-31]","[2000-10-15,2000-12-31]",,,"{SE,FI,RU-LEN}",Nearctic duck; spring with dabbling-duck passage from W,architect_proposal
Stercorarius longicaudus,"{spring_overshoot,autumn_drift}",200,20,"[2000-05-10,2000-06-10]","[2000-08-01,2000-09-30]",,,"{FI,RU-LEN,RU-KR,RU-PSK}",,architect_proposal
Stercorarius parasiticus,"{spring_overshoot,autumn_drift}",220,20,"[2000-04-20,2000-06-10]","[2000-08-01,2000-10-15]",,,,regular migrant,architect_proposal
Stercorarius pomarinus,"{spring_overshoot,autumn_drift}",200,20,"[2000-05-01,2000-06-10]","[2000-08-15,2000-10-31]",,,"{FI,RU-LEN,RU-KR,RU-PSK}",autumn from Arctic Russia over Finland,architect_proposal
Stercorarius skua,"{spring_overshoot,autumn_drift}",300,300,"[2000-04-01,2000-05-31]","[2000-09-01,2000-11-15]",,,"{SE,FI}",,architect_proposal
Sterna dougallii,{spring_overshoot},230,,"[2000-05-10,2000-07-15]",,,,,Atlantic breeder; W/SW,architect_proposal
Streptopelia turtur,"{spring_overshoot,autumn_drift}",190,190,"[2000-05-01,2000-06-30]","[2000-08-01,2000-09-30]",,,,,architect_proposal
Strix nebulosa,{winter_irruption},,40,,"[2000-10-15,2000-12-31]",,,"{FI,RU-LEN,RU-KR,RU-PSK}",irruption years only,architect_proposal
Surnia ulula,"{autumn_drift,winter_irruption}",,30,,"[2000-10-01,2000-12-31]",,,"{FI,RU-LEN,RU-KR,RU-PSK}",,architect_proposal
Tadorna ferruginea,"{spring_overshoot,autumn_drift}",130,100,"[2000-04-20,2000-06-20]","[2000-08-01,2000-10-15]",,"{LV,LT,BY,RU-KGD,PL}","{FI,RU-LEN,RU-KR,RU-PSK}",steppe/Caspian,architect_proposal
Tarsiger cyanurus,"{spring_overshoot,autumn_drift}",130,60,"[2000-05-10,2000-06-20]","[2000-09-05,2000-10-20]",,,"{FI,RU-LEN,RU-KR,RU-PSK}","breeds FI; spring overshoot from SE, autumn drift",architect_proposal
Tetrax tetrax,"{spring_overshoot,winter_irruption}",120,120,"[2000-04-15,2000-06-15]","[2000-10-15,2000-12-31]",wader,,,bustard: direct daytime flight; wader class is the closest speed proxy,architect_proposal
Tringa stagnatilis,"{spring_overshoot,autumn_drift}",150,90,"[2000-04-20,2000-06-10]","[2000-07-01,2000-09-15]",,,,regular,architect_proposal
Turdus atrogularis,"{autumn_drift,winter_irruption}",,70,,"[2000-10-01,2000-12-31]",,,"{FI,RU-LEN,RU-KR,RU-PSK}",,architect_proposal
Turdus naumanni,"{autumn_drift,winter_irruption}",,70,,"[2000-10-01,2000-12-31]",,,"{FI,RU-LEN,RU-KR,RU-PSK}",,architect_proposal
Turdus torquatus,"{spring_overshoot,autumn_drift}",230,330,"[2000-04-05,2000-05-15]","[2000-09-15,2000-10-31]",,,,"Fennoscandian breeders; spring from SW, autumn from NW",architect_proposal
Tyto alba,"{autumn_drift,winter_irruption}",,220,,"[2000-10-01,2000-12-31]",,,,"SW dispersal, mainly autumn/winter",architect_proposal
Vanellus gregarius,"{spring_overshoot,autumn_drift}",130,100,"[2000-04-20,2000-06-20]","[2000-08-01,2000-10-15]",,"{LV,LT,BY,RU-KGD,PL}","{FI,RU-LEN,RU-KR,RU-PSK}",steppe/Caspian,architect_proposal
Vanellus leucurus,"{spring_overshoot,autumn_drift}",130,100,"[2000-04-20,2000-06-20]","[2000-08-01,2000-10-15]",,"{LV,LT,BY,RU-KGD,PL}","{FI,RU-LEN,RU-KR,RU-PSK}",steppe/Caspian,architect_proposal
Xema sabini,{autumn_drift},,320,,"[2000-09-01,2000-10-31]",,,"{SE,FI}",,architect_proposal
Xenus cinereus,"{spring_overshoot,autumn_drift}",130,90,"[2000-05-05,2000-06-10]","[2000-07-01,2000-08-31]",,,"{FI,RU-LEN,RU-KR,RU-PSK}",breeds NE Europe; regular,architect_proposal
Zapornia parva,{spring_overshoot},180,,"[2000-05-01,2000-06-20]",,,,,S/SW overshoot,architect_proposal
Zoothera aurea,{autumn_drift},,70,,"[2000-09-10,2000-11-15]",,,"{FI,RU-LEN,RU-KR,RU-PSK}",Siberian reverse/drift migrant,architect_proposal
